Date,Value,Min,Max,Variation,Volume,Action,index
2024-01-04,608.00,583.00,608.00,1.33,130,Microdata,
2024-01-04,31.64,31.64,31.64,-0.03,49,Ennakl,
2024-01-04,10.67,10.67,10.69,-3.70,1169,Stokvis Nord Afr,
2024-01-04,1677.00,1673.00,1707.00,-0.24,49,Ciments Maroc,
2024-01-04,87.50,87.50,87.50,-0.51,35,INVOLYS,
2024-01-04,276.00,275.00,276.00,0.36,25820,BCP,
2024-01-04,139.25,130.15,140.00,7.12,258014,Alliances,
2024-01-05,1180.00,1166.00,1180.00,0.43,575,Total Maroc,
2024-01-05,511.40,511.40,511.40,-5.99,50,SALAFIN,
2024-01-05,7000.00,7000.00,7000.00,0.01,2,Agma,
2024-01-05,270.00,270.00,270.00,0.00,1100,Lesieur Cristal,
2024-01-05,3200.00,3200.00,3200.00,0.00,3980,Dari Couspate,
2024-01-05,29.50,29.50,30.84,-4.38,364,STROC Indus,
2024-01-05,487.50,476.50,487.50,-0.31,314,SNEP,
2024-01-05,87.11,87.11,87.11,-0.45,25,INVOLYS,
2024-01-05,197.00,196.50,201.90,0.33,9309,COSUMAR,
2024-01-05,275.50,272.00,280.00,0.00,13478,SODEP,
2024-01-05,1701.00,1674.00,1710.00,1.43,2746,Ciments Maroc,
2024-01-05,570.00,550.00,570.00,1.79,783,BMCI,
2024-01-05,15.75,14.96,15.85,4.30,1022095,Addoha,
2024-01-05,257.00,250.00,258.00,1.18,6387,Mutandis,
2024-01-05,36.95,35.50,36.95,1.62,115,Delta Holding,
2024-01-05,1150.00,1150.00,1216.00,-4.01,1686,CMT,
2024-01-05,22.60,22.60,22.65,2.73,55,Cartier Saada,
2024-01-05,181.00,181.00,181.00,0.56,210,S2M,
2024-01-05,117.80,117.80,117.80,0.00,50,SRM,
2024-01-05,11.00,10.69,11.00,3.09,3540,Stokvis Nord Afr,
2024-01-05,156.25,149.15,156.25,4.52,197450,CFG Bank,
2024-01-05,67.00,66.90,67.87,-0.01,2270,Auto Hall,
2024-01-05,347.50,347.50,350.00,-0.71,683,CIH,
2024-01-05,990.00,990.00,993.50,0.30,178,SOTHEMA,
2024-01-05,46.50,45.52,46.80,-0.43,40,Colorado,
2024-01-05,95.98,92.00,96.90,-0.94,655,FENIE BROSSETTE,
2024-01-05,625.00,608.00,625.00,2.80,14648,Microdata,
2024-01-05,95.00,95.00,95.90,-0.13,3567,Immr Invest,
2024-01-05,1335.00,1335.00,1335.00,-1.77,90,Aluminium Maroc,
2024-01-05,669.00,660.10,677.00,-0.15,1800,Sonasid,
2024-01-05,3999.00,3999.00,4178.00,0.48,134,Afriquia Gaz,
2024-01-05,572.00,572.00,572.00,0.00,1550,CTM,
2024-01-05,279.95,275.05,279.95,1.43,29925,BCP,
2024-01-05,687.00,680.00,687.00,0.73,30,DISWAY,
2024-01-05,1980.00,1940.00,1980.00,0.56,1345,LafargeHolcim,
2024-01-05,141.00,136.55,145.00,1.26,356418,Alliances,
2024-01-05,1000.00,1000.00,1000.00,0.00,5,EQDOM,
2024-01-05,325.00,325.00,325.00,0.00,90,Afric Indus,
2024-01-05,818.00,818.00,818.00,2.63,30,CDM,
2024-01-05,445.00,445.00,445.00,0.00,1,Aradei Capital,
2024-01-05,1300.00,1300.00,1300.00,0.00,144,Sanlam Maroc,
2024-01-05,1178.00,1168.00,1180.00,0.86,5980,TAQA Morocco,
2024-01-05,940.00,940.00,940.00,-4.57,300,PROMOPHARM,
2024-01-05,4100.00,4090.00,4100.00,2.50,650,Wafa Assur,
2024-01-05,31.80,31.23,31.80,0.51,100,Ennakl,
2024-01-05,78.50,78.50,78.50,-0.57,20,Zellidja,
2024-01-05,182.00,179.60,182.00,1.11,1750,BOA,
2024-01-05,191.00,188.00,192.00,1.60,62257,TGCC,
2024-01-05,1420.00,1410.00,1433.00,0.35,905,SMI,
2024-01-05,255.00,252.00,255.00,0.00,55,Jet Contractors,
2024-01-05,22.73,22.55,23.00,0.80,23415,Res.Dar Saada,
2024-01-05,195.05,192.00,200.00,-2.47,15294,Risma,
2024-01-05,125.00,123.50,125.00,-1.54,1384,ATLANTASANAD,
2024-01-05,187.00,187.00,188.10,-0.05,582,Disty Technolog,
2024-01-05,1200.00,1200.00,1200.00,0.00,194,AFMA,
2024-01-05,2335.00,2335.00,2335.00,0.00,1,Ste Boissons,
2024-01-05,21.97,21.92,21.97,6.14,1070,IBMaroc,
2024-01-05,4206.00,4206.00,4206.00,0.14,1130,LABEL VIE,
2024-01-05,510.00,496.00,510.00,2.41,27012,Akdital,
2024-01-05,470.00,465.60,471.00,0.51,41737,Attijariwafa,
2024-01-08,4161.00,4161.00,4161.00,-1.07,376,LABEL VIE,
2024-01-08,190.00,190.00,190.00,4.97,30,S2M,
2024-01-08,16.49,16.02,16.75,4.70,2064642,Addoha,
2024-01-08,78.50,78.50,78.50,0.00,20,Zellidja,
2024-01-08,688.00,671.00,690.00,0.15,201,DISWAY,
2024-01-08,849.90,819.00,849.90,3.90,6940,CDM,
2024-01-08,2335.00,2335.00,2335.00,0.00,1,Ste Boissons,
2024-01-08,470.00,466.60,471.00,0.00,21752,Attijariwafa,
2024-01-08,256.45,250.20,257.00,-0.21,801,Mutandis,
2024-01-08,10.99,10.70,11.09,-0.09,685,Stokvis Nord Afr,
2024-01-08,32.00,31.70,32.00,0.63,1147,Ennakl,
2024-01-08,1200.00,1188.00,1240.00,1.87,2090,TAQA Morocco,
2024-01-08,441.00,441.00,445.00,-0.90,63,Aradei Capital,
2024-01-08,665.00,663.00,677.80,-0.60,1802,Sonasid,
